$Flow file for segment 34,,,,
To the right of the sum of flows are individual flows starting with QWD then QSTR,,,,
JDAY,PH,Spill,Fish,
2187.63,152.41,507.69,1.7,12/26/2005
2187.67,158.95,717.67,1.7,12/26/2005
2187.71,153.4,767.04,1.7,12/26/2005
2187.75,145.75,751.84,1.7,12/26/2005
2187.79,146.24,765.19,1.7,12/26/2005
2187.83,166.8,771.4,1.7,12/26/2005
2187.88,169.47,776.5,1.7,12/26/2005
2187.92,169.54,777.27,1.7,12/26/2005
2187.96,169.07,780.43,1.7,12/26/2005
2188,167.27,780.99,1.7,12/27/2005
2188.04,166.71,781.22,1.7,12/27/2005
2188.08,150.07,779.52,1.69,12/27/2005
2188.13,142.49,785.61,1.7,12/27/2005
2188.17,141.3,782.32,1.69,12/27/2005
2188.21,142.09,785.18,1.7,12/27/2005
2188.25,141.45,785.29,1.7,12/27/2005
2188.29,140.74,785.16,1.7,12/27/2005
2188.33,141.75,784.46,1.7,12/27/2005
2188.38,141.46,783.66,1.7,12/27/2005
2188.42,140.8,782.45,1.7,12/27/2005
2188.46,140.42,780.9,1.7,12/27/2005
2188.5,139.71,778.85,1.7,12/27/2005
2188.54,139.48,776.53,1.7,12/27/2005
2188.58,139.36,774.03,1.7,12/27/2005
2188.63,139.63,769.92,1.7,12/27/2005
2188.67,139.01,764.41,1.7,12/27/2005
2188.71,137.5,762.58,1.7,12/27/2005
2188.75,136.04,761.26,1.7,12/27/2005
2188.79,135.63,758.57,1.69,12/27/2005
2188.83,136.35,762.32,1.7,12/27/2005
2188.88,135.52,758.22,1.69,12/27/2005
2188.92,135.44,760.4,1.7,12/27/2005
2188.96,136.41,762.14,1.7,12/27/2005
2189,135.13,757.71,1.69,12/28/2005
2189.04,136.46,759.65,1.7,12/28/2005
2189.08,136.07,759.35,1.7,12/28/2005
2189.13,135.97,759.03,1.7,12/28/2005
2189.17,135.88,758.65,1.7,12/28/2005
2189.21,135.78,758.12,1.7,12/28/2005
2189.25,136.02,757.58,1.7,12/28/2005
2189.29,135.9,757.08,1.7,12/28/2005
2189.33,135.57,757.21,1.7,12/28/2005
2189.38,113.66,759.29,1.7,12/28/2005
2189.42,136.54,764.93,1.7,12/28/2005
2189.46,139.11,797.74,1.7,12/28/2005
2189.5,123.35,833.06,1.7,12/28/2005
2190.5,154.83,847.24,1.7,12/29/2005
2191.5,169.59,827.37,1.7,12/30/2005
2192.5,132.01,844.39,1.7,12/31/2005
2193.5,165.71,845.49,1.7,1/1/2006
2194.5,147.88,870.39,1.7,1/2/2006
2195.5,153.53,868.51,1.7,1/3/2006
2196.5,155.22,867.3,1.7,1/4/2006
2197.5,156.02,864.86,1.7,1/5/2006
2198.5,164.44,677.44,1.7,1/6/2006
2199.5,169.81,445.98,1.7,1/7/2006
2200.5,169.3,451.3,1.7,1/8/2006
2201.5,151.4,456.97,1.7,1/9/2006
2202.5,169.9,454.17,1.7,1/10/2006
2203.5,169.56,414.07,1.7,1/11/2006
2204.5,155.43,263.17,1.7,1/12/2006
2205.5,135.36,200.51,1.7,1/13/2006
2206.5,133.33,149.94,1.7,1/14/2006
2207.5,136.54,110.4,1.7,1/15/2006
2208.5,137.52,86.57,1.7,1/16/2006
2209.5,93.71,125.89,1.7,1/17/2006
2210.5,96.84,109.32,1.7,1/18/2006
2211.5,86.45,100.03,1.7,1/19/2006
2212.5,64.47,92.94,1.7,1/20/2006
2213.5,68.62,73.59,1.7,1/21/2006
2214.5,67.67,55.78,1.7,1/22/2006
2215.5,69.71,43.03,1.7,1/23/2006
2216.5,67.4,41.02,1.7,1/24/2006
2217.5,69.14,39.9,1.7,1/25/2006
2218.5,69.74,39.77,1.7,1/26/2006
2219.5,68.36,40.42,1.7,1/27/2006
2220.5,69.09,39.11,1.7,1/28/2006
2221.5,67.71,38.83,1.7,1/29/2006
2222.5,67.88,38.93,1.7,1/30/2006
2223.5,66.76,78.97,1.7,1/31/2006
2224.5,71.36,133.04,1.7,2/1/2006
2225.5,70.76,134.02,1.7,2/2/2006
2226.5,71.23,134.4,1.7,2/3/2006
2227.5,76.42,154.43,1.7,2/4/2006
2228.5,70.48,355.83,1.7,2/5/2006
2229.5,71.07,356.28,1.7,2/6/2006
2230.5,85.71,342.32,1.7,2/7/2006
2231.5,110.71,317.23,1.7,2/8/2006
2232.5,132.45,292.43,1.7,2/9/2006
2233.5,134.82,288.3,1.7,2/10/2006
2234.5,139.27,247.14,1.7,2/11/2006
2235.5,138.34,78.9,1.7,2/12/2006
2236.5,86.04,59.19,1.7,2/13/2006
2237.5,69.66,70.02,1.7,2/14/2006
2238.5,57.59,83.69,1.7,2/15/2006
2239.5,62.63,77.1,1.7,2/16/2006
2240.5,67.18,74.63,1.7,2/17/2006
2241.5,68.33,65.59,1.7,2/18/2006
2242.5,69.28,53.36,1.7,2/19/2006
2243.5,69.95,43.17,1.7,2/20/2006
2244.5,69.22,44.28,1.7,2/21/2006
2245.5,85.64,24.79,1.7,2/22/2006
2246.5,110.22,0,1.7,2/23/2006
2247.5,118.59,9.93,1.7,2/24/2006
2248.5,138.7,71.8,1.7,2/25/2006
2249.5,139.49,72.51,1.7,2/26/2006
2250.5,129.05,70.58,1.7,2/27/2006
2251.5,97.42,89.45,1.7,2/28/2006
2252.5,65.38,140.46,1.7,3/1/2006
2253.5,59.69,139.94,1.7,3/2/2006
2254.5,86.35,79.45,1.7,3/3/2006
2255.5,132.09,15.25,1.7,3/4/2006
2256.5,134.06,0,1.7,3/5/2006
2257.5,118.8,0,1.7,3/6/2006
2258.5,128.36,0,1.7,3/7/2006
2259.5,132.32,0,1.7,3/8/2006
2260.5,133.29,0,1.7,3/9/2006
2261.5,129.72,0,1.7,3/10/2006
2262.5,136.08,0,1.7,3/11/2006
2263.5,129.74,15.8,1.7,3/12/2006
2264.5,133.65,68.94,1.7,3/13/2006
2265.5,128.07,70.48,1.7,3/14/2006
2266.5,130.87,69.54,1.7,3/15/2006
2267.5,132.11,69.03,1.7,3/16/2006
2268.5,130.99,69.17,1.7,3/17/2006
2269.5,137.3,68.31,1.7,3/18/2006
2270.5,137.67,68.57,1.7,3/19/2006
2271.5,136.17,67.35,1.7,3/20/2006
2272.5,135.88,68.13,1.7,3/21/2006
2273.5,136.91,69.86,1.7,3/22/2006
2274.5,139.21,71.6,1.7,3/23/2006
2275.5,141.79,79.01,1.7,3/24/2006
2276.5,129.22,87.01,1.7,3/25/2006
2277.5,138.16,83.32,1.7,3/26/2006
2278.5,133.82,84.19,1.7,3/27/2006
2279.5,131.88,82.58,1.7,3/28/2006
2280.5,134.67,95.92,1.7,3/29/2006
2281.5,142.16,134.46,1.7,3/30/2006
2282.5,136.01,156.01,1.7,3/31/2006
2283.5,147.28,274.86,1.7,4/1/2006
2283.54,146.82,273.3,1.7,4/1/2006
2283.58,146.62,274.05,1.7,4/1/2006
2283.63,146.97,274.76,1.7,4/1/2006
2283.67,147.27,275.37,1.7,4/1/2006
2283.71,147.38,275.97,1.7,4/1/2006
2283.75,147.56,276.54,1.7,4/1/2006
2283.79,147.29,277.07,1.7,4/1/2006
2283.83,147.04,277.93,1.7,4/1/2006
2283.88,146.59,277.75,1.69,4/1/2006
2283.92,147.39,279,1.7,4/1/2006
2283.96,147.18,280.32,1.7,4/1/2006
2284,146.83,280.29,1.7,4/2/2006
2284.04,146.56,279.9,1.69,4/2/2006
2284.08,147.48,281.01,1.7,4/2/2006
2284.13,147.93,281.32,1.7,4/2/2006
2284.17,147.44,281.63,1.7,4/2/2006
2284.21,146.72,281.93,1.7,4/2/2006
2284.25,145.94,282.24,1.7,4/2/2006
2284.29,147.56,282.5,1.7,4/2/2006
2284.33,147.5,282.7,1.7,4/2/2006
2284.38,147.44,282.66,1.7,4/2/2006
2284.42,147.38,282.54,1.7,4/2/2006
2284.46,146.86,282.41,1.7,4/2/2006
2284.5,146.72,282.31,1.7,4/2/2006
2284.54,146.2,282.21,1.7,4/2/2006
2284.58,144.72,282.14,1.7,4/2/2006
2284.63,142.99,282.17,1.7,4/2/2006
2284.67,141.35,282.25,1.7,4/2/2006
2284.71,141.49,282.35,1.7,4/2/2006
2284.75,141.36,282.46,1.7,4/2/2006
2284.79,140.69,282.58,1.7,4/2/2006
2284.83,139.88,281.95,1.69,4/2/2006
2284.88,141.03,282.84,1.7,4/2/2006
2284.92,141.1,282.99,1.7,4/2/2006
2284.96,141.65,284.04,1.7,4/2/2006
2285,142.72,282.79,1.69,4/3/2006
2285.04,144.51,283.87,1.7,4/3/2006
2285.08,144.86,284.29,1.7,4/3/2006
2285.13,143.67,284.79,1.7,4/3/2006
2285.17,144.14,285.3,1.7,4/3/2006
2285.21,142.99,285.73,1.7,4/3/2006
2285.25,142.61,286.06,1.7,4/3/2006
2285.29,143.13,286.33,1.7,4/3/2006
2285.33,92.33,333.37,1.7,4/3/2006
2285.38,71.71,347.58,1.7,4/3/2006
2285.42,71.72,348.46,1.7,4/3/2006
2285.46,71.24,349.49,1.7,4/3/2006
2285.5,75.81,468.22,1.7,4/3/2006
2285.54,83.64,598.34,1.7,4/3/2006
2285.58,84.58,717.89,1.69,4/3/2006
2285.63,84.89,780.02,1.7,4/3/2006
2285.67,85.02,784.52,1.7,4/3/2006
2285.71,85.02,785.85,1.7,4/3/2006
2285.75,78.25,887.87,1.7,4/3/2006
2285.79,71.67,904.15,1.7,4/3/2006
2285.83,72.26,896.6,1.7,4/3/2006
2285.88,72.52,896.75,1.69,4/3/2006
2285.92,71.84,901.45,1.7,4/3/2006
2285.96,71.96,903.34,1.7,4/3/2006
2286,71.92,904.32,1.7,4/4/2006
2286.04,72,905.31,1.7,4/4/2006
2286.08,71.05,906.77,1.7,4/4/2006
2286.13,71.4,908.47,1.7,4/4/2006
2286.17,71.21,910.22,1.7,4/4/2006
2286.21,71.04,912.36,1.7,4/4/2006
2286.25,70.6,914.76,1.7,4/4/2006
2286.29,70,917.31,1.7,4/4/2006
2286.33,69.54,917.34,1.7,4/4/2006
2286.38,69.84,910.47,1.7,4/4/2006
2286.42,70.78,904.11,1.7,4/4/2006
2286.46,72.01,899.03,1.7,4/4/2006
2286.5,72.85,897.85,1.7,4/4/2006
2286.54,71.73,901.01,1.69,4/4/2006
2286.58,71.11,908.82,1.7,4/4/2006
2286.63,71.81,913.74,1.7,4/4/2006
2286.67,71.8,918.03,1.7,4/4/2006
2286.71,70.96,913.74,1.7,4/4/2006
2286.75,71.36,918.44,1.7,4/4/2006
2286.79,70.67,918.86,1.69,4/4/2006
2286.83,71.53,919.91,1.7,4/4/2006
2286.88,70.77,921.5,1.7,4/4/2006
2286.92,70.8,920.34,1.7,4/4/2006
2286.96,71.05,918.24,1.7,4/4/2006
2287,71.09,916.14,1.7,4/5/2006
2287.04,71.48,914.16,1.7,4/5/2006
2287.08,71.58,912.38,1.7,4/5/2006
2287.13,70.8,910.98,1.7,4/5/2006
2287.17,71.65,909.74,1.7,4/5/2006
2287.21,70.76,906.35,1.7,4/5/2006
2287.25,71.01,908.73,1.7,4/5/2006
2287.29,70.91,908.68,1.7,4/5/2006
2287.33,71.05,910.86,1.7,4/5/2006
2287.38,70.64,905.6,1.69,4/5/2006
2287.42,71.28,908,1.7,4/5/2006
2287.46,71.38,907.92,1.7,4/5/2006
2287.5,71.3,907.75,1.7,4/5/2006
2287.54,71.14,907.74,1.7,4/5/2006
2287.58,71.23,907.85,1.7,4/5/2006
2287.63,71.25,907.85,1.7,4/5/2006
2287.67,71.01,907.84,1.7,4/5/2006
2287.71,71.09,907.72,1.7,4/5/2006
2287.75,71.64,907.45,1.7,4/5/2006
2287.79,71.52,907.3,1.7,4/5/2006
2287.83,71.17,907.01,1.7,4/5/2006
2287.88,71.22,904.16,1.7,4/5/2006
2287.92,71.44,906.21,1.7,4/5/2006
2287.96,71.55,908.36,1.7,4/5/2006
2288,71.42,905.39,1.7,4/6/2006
2288.04,70.89,904.98,1.7,4/6/2006
2288.08,70.93,902.03,1.69,4/6/2006
2288.13,71.58,904.02,1.7,4/6/2006
2288.17,71.77,903.48,1.7,4/6/2006
2288.21,71.19,902.92,1.7,4/6/2006
2288.25,70.81,902.34,1.7,4/6/2006
2288.29,71.54,901.66,1.7,4/6/2006
2288.33,71.04,900.86,1.69,4/6/2006
2288.38,71.25,900.06,1.7,4/6/2006
2288.42,70.96,902.54,1.7,4/6/2006
2288.46,70.67,902.67,1.7,4/6/2006
2288.5,71.61,898.73,1.7,4/6/2006
2288.54,70.87,770.03,1.7,4/6/2006
2288.58,71.14,777.39,1.7,4/6/2006
2288.63,70.31,778.83,1.7,4/6/2006
2288.67,70.58,779.53,1.7,4/6/2006
2288.71,70.29,777.85,1.7,4/6/2006
2288.75,70.53,782.56,1.7,4/6/2006
2288.79,70.37,774.19,1.7,4/6/2006
2288.83,71.43,780.84,1.7,4/6/2006
2288.88,70.43,778.6,1.7,4/6/2006
2288.92,71.96,780.57,1.7,4/6/2006
2288.96,70.92,780.3,1.7,4/6/2006
2289,70.61,780.04,1.7,4/7/2006
2289.04,70.54,779.69,1.7,4/7/2006
2289.08,71.15,779.29,1.69,4/7/2006
2289.13,70.81,778.74,1.7,4/7/2006
2289.17,70.77,778.26,1.7,4/7/2006
2289.21,71.6,777.76,1.7,4/7/2006
2289.25,72,777.07,1.7,4/7/2006
2289.29,71.68,776.34,1.69,4/7/2006
2289.33,71.57,775.55,1.7,4/7/2006
2289.38,71.69,774.66,1.7,4/7/2006
2289.42,70.8,778.11,1.7,4/7/2006
2289.46,70.93,770.75,1.7,4/7/2006
2289.5,70.94,635.03,1.7,4/7/2006
2289.54,71.54,638.1,1.7,4/7/2006
2289.58,71.47,640.01,1.7,4/7/2006
2289.63,71.06,643.41,1.7,4/7/2006
2289.67,70.73,641.25,1.7,4/7/2006
2289.71,71.03,646.08,1.7,4/7/2006
2289.75,70.72,642.65,1.7,4/7/2006
2289.79,71.13,644.18,1.7,4/7/2006
2289.83,70.43,643.92,1.7,4/7/2006
2289.88,70.26,643.69,1.69,4/7/2006
2289.92,70.94,643.46,1.7,4/7/2006
2289.96,71.43,643.17,1.7,4/7/2006
2290,70.8,642.87,1.69,4/8/2006
2290.04,70.94,642.87,1.7,4/8/2006
2290.08,71.19,643.31,1.7,4/8/2006
2290.13,70.98,643.7,1.7,4/8/2006
2290.17,70.22,643.81,1.69,4/8/2006
2290.21,70.6,643.72,1.7,4/8/2006
2290.25,70.44,643.49,1.7,4/8/2006
2290.29,71.03,641.24,1.7,4/8/2006
2290.33,70.87,644.38,1.7,4/8/2006
2290.38,70.74,642.1,1.7,4/8/2006
2290.42,70.43,641.52,1.7,4/8/2006
2290.46,70.77,640.87,1.7,4/8/2006
2290.5,71.1,638.5,1.7,4/8/2006
2290.54,68.33,639.54,1.7,4/8/2006
2290.58,78.51,638.27,1.7,4/8/2006
2290.63,78.86,636.98,1.7,4/8/2006
2290.67,78.91,635.82,1.7,4/8/2006
2290.71,79.28,634.64,1.7,4/8/2006
2290.75,79.69,633.47,1.7,4/8/2006
2290.79,79.85,632.36,1.7,4/8/2006
2290.83,80.16,631.25,1.7,4/8/2006
2290.88,80.17,630.16,1.69,4/8/2006
2290.92,80.96,629.04,1.7,4/8/2006
2290.96,81.35,627.98,1.7,4/8/2006
2291,81.43,627.28,1.7,4/9/2006
2291.04,81.53,627.26,1.7,4/9/2006
2291.08,81.79,627.3,1.7,4/9/2006
2291.13,81.45,627.25,1.7,4/9/2006
2291.17,81.5,625.42,1.7,4/9/2006
2291.21,81.12,627.04,1.7,4/9/2006
2291.25,81.06,626.88,1.7,4/9/2006
2291.29,81.37,628.34,1.7,4/9/2006
2291.33,81.31,624.62,1.7,4/9/2006
2291.38,81.52,625.95,1.7,4/9/2006
2291.42,81.73,625.68,1.7,4/9/2006
2291.46,81.97,625.3,1.7,4/9/2006
2291.5,82.19,624.89,1.7,4/9/2006
2291.54,82.28,624.38,1.69,4/9/2006
2291.58,82.93,624.33,1.7,4/9/2006
2291.63,72.12,624.79,1.7,4/9/2006
2291.67,71.06,635.26,1.7,4/9/2006
2291.71,71.35,634.57,1.7,4/9/2006
2291.75,70.12,634.31,1.69,4/9/2006
2291.79,70.45,634.16,1.7,4/9/2006
2291.83,70.12,633.85,1.7,4/9/2006
2291.88,70.53,633.42,1.7,4/9/2006
2291.92,70.83,632.95,1.7,4/9/2006
2291.96,70.84,632.06,1.7,4/9/2006
2292,71.03,635.5,1.7,4/10/2006
2292.04,71.19,637.71,1.7,4/10/2006
2292.08,71.33,636.16,1.7,4/10/2006
2292.13,71.28,634.44,1.7,4/10/2006
2292.17,71.22,636.31,1.7,4/10/2006
2292.21,71.23,636.47,1.7,4/10/2006
2292.25,71.33,636.48,1.7,4/10/2006
2292.29,71.64,636.39,1.7,4/10/2006
2292.33,71.54,636.26,1.69,4/10/2006
2292.38,71.64,636.41,1.7,4/10/2006
2292.42,72.27,518.99,1.7,4/10/2006
2292.46,72.36,507.33,1.7,4/10/2006
2292.5,72.47,506.99,1.7,4/10/2006
2292.54,71.98,506.51,1.69,4/10/2006
2292.58,72.22,506.08,1.7,4/10/2006
2292.63,72.16,505.64,1.7,4/10/2006
2292.67,72.07,505.52,1.7,4/10/2006
2292.71,72.05,505.39,1.7,4/10/2006
2292.75,70.83,504.32,1.7,4/10/2006
2292.79,69.91,506.23,1.7,4/10/2006
2292.83,70.52,508.21,1.7,4/10/2006
2292.88,65.24,506.96,1.7,4/10/2006
2292.92,70.46,505.56,1.7,4/10/2006
2292.96,70.6,506.93,1.7,4/10/2006
2293,70.78,506.76,1.7,4/11/2006
2293.04,71.23,507.86,1.7,4/11/2006
2293.08,70.74,504.87,1.7,4/11/2006
2293.13,71,505.9,1.7,4/11/2006
2293.17,71.2,505.57,1.7,4/11/2006
2293.21,70.85,505.23,1.69,4/11/2006
2293.25,71.42,504.92,1.7,4/11/2006
2293.29,71.11,504.66,1.7,4/11/2006
2293.33,71.31,504.4,1.7,4/11/2006
2293.38,71.78,504.06,1.7,4/11/2006
2293.42,71.84,503.73,1.7,4/11/2006
2293.46,71.55,503.42,1.69,4/11/2006
2293.5,71.58,503.04,1.7,4/11/2006
2293.54,71.6,502.64,1.7,4/11/2006
2293.58,71.74,502.26,1.7,4/11/2006
2293.63,71.19,500.46,1.7,4/11/2006
2293.67,71.29,501.52,1.7,4/11/2006
2293.71,71.77,502.78,1.7,4/11/2006
2293.75,71.91,501.84,1.7,4/11/2006
2293.79,71.65,502.33,1.7,4/11/2006
2293.83,70.97,501.4,1.7,4/11/2006
2293.88,71.25,503.29,1.7,4/11/2006
2293.92,71.1,503.43,1.7,4/11/2006
2293.96,71.23,502.95,1.7,4/11/2006
2294,71.16,502.46,1.7,4/12/2006
2294.04,71.14,502.07,1.7,4/12/2006
2294.08,71.08,501.62,1.7,4/12/2006
2294.13,71.19,501.28,1.7,4/12/2006
2294.17,71.16,500.85,1.69,4/12/2006
2294.21,71.57,500.38,1.7,4/12/2006
2294.25,71.77,499.93,1.7,4/12/2006
2294.29,63.99,499.41,1.7,4/12/2006
2294.33,65.18,498.94,1.69,4/12/2006
2294.38,57.33,498.52,1.7,4/12/2006
2294.42,72.62,498.07,1.7,4/12/2006
2294.46,72.34,497.65,1.7,4/12/2006
2294.5,72.3,495.87,1.7,4/12/2006
2294.54,72.54,496.9,1.7,4/12/2006
2294.58,72.51,496.57,1.7,4/12/2006
2294.63,71.85,496.37,1.7,4/12/2006
2294.67,70.41,496.85,1.7,4/12/2006
2294.71,70.44,497.45,1.7,4/12/2006
2294.75,70.29,498.09,1.7,4/12/2006
2294.79,70.27,498.66,1.7,4/12/2006
2294.83,69.76,499.31,1.7,4/12/2006
2294.88,69.74,499.78,1.7,4/12/2006
2294.92,69.87,500.17,1.7,4/12/2006
2294.96,71.36,500.57,1.7,4/12/2006
2295,71.41,500.64,1.7,4/13/2006
2295.04,71.22,500.1,1.69,4/13/2006
2295.08,71.15,499.47,1.7,4/13/2006
2295.13,70.18,499.08,1.7,4/13/2006
2295.17,68.13,495.86,1.7,4/13/2006
2295.21,69.37,498.33,1.7,4/13/2006
2295.25,70.47,496.59,1.69,4/13/2006
2295.29,73.11,497.38,1.7,4/13/2006
2295.33,73.1,497.46,1.7,4/13/2006
2295.38,77.42,498.1,1.7,4/13/2006
2295.42,77.26,497.72,1.7,4/13/2006
2295.46,139.36,435.24,1.7,4/13/2006
2295.5,142.82,426.44,1.7,4/13/2006
2296.5,125.4,432.92,1.7,4/14/2006
2297.5,125.12,430.27,1.7,4/15/2006
2298.5,119.39,430.85,1.7,4/16/2006
2299.5,122.73,436.63,1.7,4/17/2006
2300.5,123.83,409.78,1.7,4/18/2006
2301.5,122.55,299.58,1.7,4/19/2006
2302.5,135.13,223.25,1.7,4/20/2006
2303.5,136.03,221.57,1.7,4/21/2006
2304.5,139.92,219.12,1.7,4/22/2006
2305.5,142.77,218.7,1.7,4/23/2006
2306.5,139.82,219.13,1.7,4/24/2006
2307.5,143.02,218.88,1.7,4/25/2006
2308.5,132.56,218,1.7,4/26/2006
2309.5,142.74,219.04,1.7,4/27/2006
2310.5,143.59,220.54,1.7,4/28/2006
2311.5,144.97,218.85,1.7,4/29/2006
2312.5,146.7,221.8,1.7,4/30/2006
2313.5,82.33,285.93,1.7,5/1/2006
2314.5,146.78,219.49,1.7,5/2/2006
2315.5,146.39,223.55,1.7,5/3/2006
2316.5,146.23,225.64,1.7,5/4/2006
2317.5,145.92,226.14,1.7,5/5/2006
2318.5,144.88,226.5,1.7,5/6/2006
2319.5,145.81,226.13,1.7,5/7/2006
2320.5,145.5,223.05,1.7,5/8/2006
2321.5,146.65,223.88,1.7,5/9/2006
2322.5,146.81,222.9,1.7,5/10/2006
2323.5,147.27,217.64,1.7,5/11/2006
2324.5,145.91,192.58,1.7,5/12/2006
2325.5,147.71,173.41,1.7,5/13/2006
2326.5,149.27,171.69,1.7,5/14/2006
2327.5,150.51,172.03,1.7,5/15/2006
2328.5,148.82,172.12,1.7,5/16/2006
2329.5,149.29,170.91,1.7,5/17/2006
2330.5,145.87,173.11,1.7,5/18/2006
2331.5,145.42,173.34,1.7,5/19/2006
2332.5,145.26,173,1.7,5/20/2006
2333.5,143.04,176.81,1.7,5/21/2006
2334.5,129.85,152.83,1.7,5/22/2006
2335.5,112.11,105.41,1.7,5/23/2006
2336.5,109.29,83.72,1.7,5/24/2006
2337.5,110.82,66.43,1.7,5/25/2006
2338.5,137.62,16.67,1.7,5/26/2006
2339.5,140.25,0,1.7,5/27/2006
2340.5,125.4,14.62,1.7,5/28/2006
2341.5,127.36,16.05,1.7,5/29/2006
2342.5,126,15.89,1.7,5/30/2006
2343.5,118.92,25.58,1.7,5/31/2006
2344.5,140.52,0.65,1.7,6/1/2006
2345.5,142.35,0,1.7,6/2/2006
2346.5,142.45,0.26,1.7,6/3/2006
2347.5,136.05,10.41,1.7,6/4/2006
2348.5,137.61,54.95,1.7,6/5/2006
2349.5,128.22,53.18,1.7,6/6/2006
2350.5,139.16,52.21,1.7,6/7/2006
2351.5,137.81,49.96,1.7,6/8/2006
2352.5,140.04,37.2,1.7,6/9/2006
2353.5,134.78,29.32,1.7,6/10/2006
2354.5,133.11,28.11,1.7,6/11/2006
2355.5,135.32,28.07,1.7,6/12/2006
2356.5,136.06,28.73,1.7,6/13/2006
2357.5,134.54,28.68,1.7,6/14/2006
2358.5,129.09,28.33,1.7,6/15/2006
2359.5,131.46,28.51,1.7,6/16/2006
2360.5,136.15,28.8,1.7,6/17/2006
2361.5,138.62,28.35,1.7,6/18/2006
2362.5,135.53,28.59,1.7,6/19/2006
2363.5,135.03,29.22,1.7,6/20/2006
2364.5,137.84,26.69,1.7,6/21/2006
2365.5,142.84,14.2,1.7,6/22/2006
2366.5,140.53,11.78,1.7,6/23/2006
2367.5,140.31,0,1.7,6/24/2006
2368.5,141.62,0.55,1.7,6/25/2006
2369.5,142.98,0,1.7,6/26/2006
2370.5,143.23,0.37,1.7,6/27/2006
2371.5,126.31,0.02,1.7,6/28/2006
2372.5,86.9,29.97,1.7,6/29/2006
2373.5,114.28,0,1.7,6/30/2006
2374.5,115.67,0,1.7,7/1/2006
2375.5,114.5,0,1.7,7/2/2006
2376.5,116.03,0,1.7,7/3/2006
2377.5,116.81,0,1.7,7/4/2006
2378.5,116.01,0,1.7,7/5/2006
2379.5,116.26,0,1.7,7/6/2006
2380.5,115.21,0,1.7,7/7/2006
2381.5,118.33,0,1.7,7/8/2006
2382.5,113.19,0,1.7,7/9/2006
2383.5,99.66,0,1.7,7/10/2006
2384.5,101.45,0,1.7,7/11/2006
2385.5,70.28,32.32,1.7,7/12/2006
2386.5,101.34,0,1.7,7/13/2006
2387.5,100.94,0.01,1.7,7/14/2006
2388.5,100.74,0,1.7,7/15/2006
2389.5,101.14,0,1.7,7/16/2006
2390.5,99.6,0,1.7,7/17/2006
2391.5,99,0,1.7,7/18/2006
2392.5,100.95,0,1.7,7/19/2006
2393.5,102.67,0,1.7,7/20/2006
2394.5,100.57,0,1.7,7/21/2006
2395.5,97.27,4.2,1.7,7/22/2006
2396.5,94.49,5.85,1.7,7/23/2006
2397.5,86.47,17.11,1.7,7/24/2006
2398.5,97.37,0,1.63,7/25/2006
2399.5,98.51,0,1.7,7/26/2006
2400.5,100.32,0,1.7,7/27/2006
2401.5,94.49,5.79,1.7,7/28/2006
2402.5,98.76,0,1.7,7/29/2006
2403.5,100.62,0,1.7,7/30/2006
2404.5,99.67,0,1.7,7/31/2006
2405.5,101.5,0,1.7,8/1/2006
2406.5,103.55,0,1.7,8/2/2006
2407.5,98.73,0,1.7,8/3/2006
2408.5,100.85,0,1.7,8/4/2006
2409.5,101.52,0,1.7,8/5/2006
2410.5,100.24,0,1.7,8/6/2006
2411.5,86.07,0,1.7,8/7/2006
2412.5,87.78,0,1.7,8/8/2006
2413.5,86.29,0,1.7,8/9/2006
2414.5,87.27,0,1.7,8/10/2006
2415.5,85.61,0,1.7,8/11/2006
2416.5,87.67,0,1.7,8/12/2006
2417.5,87.18,0,1.7,8/13/2006
2418.5,85.28,0,1.7,8/14/2006
2419.5,86.74,0,1.7,8/15/2006
2420.5,87.17,0.06,1.7,8/16/2006
2421.5,85.47,0,1.7,8/17/2006
2422.5,89.65,0,1.7,8/18/2006
2423.5,87.75,0,1.7,8/19/2006
2424.5,86.38,0,1.7,8/20/2006
2425.5,86.23,0,1.7,8/21/2006
2426.5,88.99,0,1.7,8/22/2006
2427.5,84.78,0,1.7,8/23/2006
2428.5,85.28,0,1.7,8/24/2006
2429.5,87.22,0,1.7,8/25/2006
2430.5,85.61,0,1.7,8/26/2006
2431.5,91.26,0,1.7,8/27/2006
2432.5,84.57,0,1.7,8/28/2006
2433.5,72.63,0,1.7,8/29/2006
2434.5,62.41,0,1.7,8/30/2006
2435.5,87.14,0,1.7,8/31/2006
2436.5,86.77,0,1.63,9/1/2006
2437.5,83.7,0,1.7,9/2/2006
2438.5,86.49,0,1.7,9/3/2006
2439.5,85.07,0,1.7,9/4/2006
2440.5,82.54,0,1.7,9/5/2006
2441.5,59.84,12.15,1.7,9/6/2006
2442.5,72.75,0,1.7,9/7/2006
2443.5,72.07,0,1.7,9/8/2006
2444.5,71.74,0,1.7,9/9/2006
2445.5,71.72,0,1.7,9/10/2006
2446.5,72.05,0,1.7,9/11/2006
2447.5,66.89,0,1.7,9/12/2006
2448.5,57.98,12.45,1.7,9/13/2006
2449.5,73.59,0,1.7,9/14/2006
2450.5,71.08,0,1.7,9/15/2006
2451.5,71.33,0,1.7,9/16/2006
2452.5,71.71,0,1.7,9/17/2006
2453.5,59.39,0,1.7,9/18/2006
2454.5,71.78,0,1.7,9/19/2006
2455.5,72.44,0,1.7,9/20/2006
2456.5,72.2,0,1.7,9/21/2006
2457.5,72.34,0,1.7,9/22/2006
