$Flow file for segment 34,,,
To the right of the sum of flows are individual flows starting with QWD then QSTR,,,
JDAY,PH,Spill,Fish
2043.5,96.68,0.00,1.70
2044.5,96.19,0.00,1.70
2045.5,95.88,0.00,1.70
2046.5,94.85,0.00,1.70
2047.5,96.65,0.00,1.70
2048.5,95.39,0.00,1.70
2049.5,94.59,0.00,1.70
2050.5,86.36,10.03,1.70
2051.5,83.93,0.00,1.70
2052.5,81.38,0.00,1.70
2053.5,80.75,0.00,1.70
2054.5,81.74,0.00,1.70
2055.5,80.92,0.00,1.70
2056.5,83.44,0.00,1.70
2057.5,82.78,0.00,1.70
2058.5,81.94,0.00,1.70
2059.5,80.72,0.00,1.70
2060.5,80.35,0.00,1.70
2061.5,82.62,0.00,1.70
2062.5,86.07,0.00,1.70
2063.5,83.25,0.00,1.70
2064.5,84.15,0.00,1.70
2065.5,82.43,0.00,1.70
2066.5,82.93,0.00,1.70
2067.5,82.04,0.00,1.70
2068.5,80.41,0.00,1.70
2069.5,82.63,0.00,1.70
2070.5,84.77,0.00,1.70
2071.5,81.89,0.00,1.70
2072.5,84.98,0.00,1.70
2073.5,83.78,0.00,1.70
2074.5,85.34,0.00,1.70
2075.5,83.25,0.00,1.70
2076.5,84.04,0.00,1.70
2077.5,84.92,0.00,1.70
2078.5,85.47,0.00,1.70
2079.5,84.93,0.00,1.70
2080.5,71.34,0.00,1.70
2081.5,71.74,0.00,1.70
2082.5,69.10,0.00,1.70
2083.5,67.61,0.00,1.70
2084.5,67.89,0.00,1.70
2085.5,49.97,0.00,1.70
2086.5,66.88,0.00,1.70
2087.5,67.25,0.00,1.70
2088.5,67.43,0.00,1.70
2089.5,67.31,0.00,1.70
2090.5,66.48,0.00,1.70
2091.5,66.87,0.00,1.70
2092.5,68.19,0.00,1.70
2093.5,65.18,0.00,1.70
2094.5,69.34,0.00,1.70
2095.5,67.91,0.00,1.70
2096.5,66.86,0.00,1.70
2097.5,65.88,0.00,1.70
2098.5,67.35,0.00,1.70
2099.5,65.05,0.00,1.70
2100.5,68.20,0.00,1.70
2101.5,67.27,0.00,1.70
2102.5,67.18,0.00,1.70
2103.5,66.09,0.00,1.70
2104.5,66.97,0.00,1.70
2105.5,68.97,0.00,1.70
2106.5,69.56,0.00,1.70
2107.5,68.61,0.00,1.70
2108.5,68.02,0.00,1.70
2109.5,65.95,0.00,1.70
2110.5,69.44,0.00,1.70
2111.5,68.37,0.00,1.70
2112.5,68.49,0.00,1.70
2113.5,68.67,0.00,1.70
2114.5,68.87,0.00,1.70
2115.5,67.41,0.00,1.70
2116.5,67.64,0.00,1.70
2117.5,68.83,0.00,1.70
2118.5,31.53,26.58,1.70
2119.5,55.45,0.00,1.70
2120.5,54.77,0.00,1.70
2121.5,54.35,0.00,1.70
2122.5,53.41,0.00,1.70
2123.5,53.12,0.00,1.70
2124.5,54.75,0.00,1.70
2125.5,55.80,0.00,1.70
2126.5,55.10,0.00,1.70
2127.5,56.00,0.02,1.70
2128.5,56.97,0.00,1.70
2129.5,57.71,0.00,1.70
2130.5,53.80,0.00,1.71
2131.5,55.74,0.00,1.70
2132.5,55.77,0.00,1.70
2133.5,56.04,0.00,1.70
2134.5,56.86,0.00,1.70
2135.5,54.51,0.00,1.70
2136.5,58.67,0.00,1.70
2137.5,56.91,0.00,1.70
2138.5,56.36,0.00,1.70
2139.5,55.49,0.00,1.70
2140.5,55.46,0.00,1.70
2141.5,54.50,0.00,1.70
2142.5,63.62,0.00,1.70
2143.5,62.24,0.00,1.70
2144.5,61.68,0.00,1.70
2145.5,62.36,0.00,1.70
2146.5,61.47,0.00,1.70
2147.5,63.03,0.00,1.70
2148.5,62.42,0.00,1.70
2149.5,65.06,0.00,1.70
2150.5,62.16,0.00,1.70
2151.5,63.37,0.00,1.70
2152.5,63.53,0.00,1.70
2153.5,39.18,24.54,1.70
2154.5,63.63,0.00,1.70
2155.5,63.82,0.00,1.70
2156.5,63.06,0.00,1.70
2157.5,62.27,0.00,1.70
2158.5,62.25,0.00,1.70
2159.5,62.96,0.00,1.70
2160.5,60.25,0.00,1.70
2161.5,61.06,0.00,1.70
2162.5,58.46,0.00,1.70
2163.5,58.49,0.00,1.70
2164.5,60.34,0.00,1.70
2165.5,60.30,0.00,1.70
2166.5,60.89,0.00,1.70
2167.5,60.61,0.00,1.70
2168.5,60.80,0.00,1.70
2169.5,61.30,0.00,1.70
2170.5,59.39,0.00,1.70
2171.5,60.86,0.00,1.70
2172.5,62.60,0.00,1.70
2173.5,60.92,0.00,1.70
2174.5,62.12,0.00,1.70
2175.5,59.76,0.00,1.70
2176.5,40.90,20.34,1.70
2177.5,61.24,0.00,1.70
2178.5,62.78,0.00,1.70
2179.5,55.27,0.00,1.70
2180.5,59.09,0.00,1.70
2181.5,59.38,0.00,1.70
2182.5,60.79,0.00,1.70
2183.5,59.92,36.16,1.70
2184.5,108.19,0.00,1.70
2185.5,119.66,105.56,1.70
2186.5,117.51,420.88,1.70
2187.5,119.08,554.78,1.70
2188.5,158.03,789.73,1.70
2189.5,166.08,813.67,1.70
2190.5,154.83,847.24,1.70
2191.5,169.59,827.37,1.70
2192.5,132.01,844.39,1.70
2193.5,165.71,845.49,1.70
2194.5,147.88,870.39,1.70
2195.5,153.53,868.51,1.70
2196.5,155.22,867.30,1.70
2197.5,156.02,864.86,1.70
2198.5,164.44,677.44,1.70
2199.5,169.81,445.98,1.70
2200.5,169.30,451.30,1.70
2201.5,151.40,456.97,1.70
2202.5,169.90,454.17,1.70
2203.5,169.56,414.07,1.70
2204.5,155.43,263.17,1.70
2205.5,135.36,200.51,1.70
2206.5,133.33,149.94,1.70
2207.5,136.54,110.40,1.70
2208.5,137.52,86.57,1.70
2209.5,93.71,125.89,1.70
2210.5,96.84,109.32,1.70
2211.5,86.45,100.03,1.70
2212.5,64.47,92.94,1.70
2213.5,68.62,73.59,1.70
2214.5,67.67,55.78,1.70
2215.5,69.71,43.03,1.70
2216.5,67.40,41.02,1.70
2217.5,69.14,39.90,1.70
2218.5,69.74,39.77,1.70
2219.5,68.36,40.42,1.70
2220.5,69.09,39.11,1.70
2221.5,67.71,38.83,1.70
2222.5,67.88,38.93,1.70
2223.5,66.76,78.97,1.70
2224.5,71.36,133.04,1.70
2225.5,70.76,134.02,1.70
2226.5,71.23,134.40,1.70
2227.5,76.42,154.43,1.70
2228.5,70.48,355.83,1.70
2229.5,71.07,356.28,1.70
2230.5,85.71,342.32,1.70
2231.5,110.71,317.23,1.70
2232.5,132.45,292.43,1.70
2233.5,134.82,288.30,1.70
2234.5,139.27,247.14,1.70
2235.5,138.34,78.90,1.70
2236.5,86.04,59.19,1.70
2237.5,69.66,70.02,1.70
2238.5,57.59,83.69,1.70
2239.5,62.63,77.10,1.70
2240.5,67.18,74.63,1.70
2241.5,68.33,65.59,1.70
2242.5,69.28,53.36,1.70
2243.5,69.95,43.17,1.70
2244.5,69.22,44.28,1.70
2245.5,85.64,24.79,1.70
2246.5,110.22,0.00,1.70
2247.5,118.59,9.93,1.70
2248.5,138.70,71.80,1.70
2249.5,139.49,72.51,1.70
2250.5,129.05,70.58,1.70
2251.5,97.42,89.45,1.70
2252.5,65.38,140.46,1.70
2253.5,59.69,139.94,1.70
2254.5,86.35,79.45,1.70
2255.5,132.09,15.25,1.70
2256.5,134.06,0.00,1.70
2257.5,118.80,0.00,1.70
2258.5,128.36,0.00,1.70
2259.5,132.32,0.00,1.70
2260.5,133.29,0.00,1.70
2261.5,129.72,0.00,1.70
2262.5,136.08,0.00,1.70
2263.5,129.74,15.80,1.70
2264.5,133.65,68.94,1.70
2265.5,128.07,70.48,1.70
2266.5,130.87,69.54,1.70
2267.5,132.11,69.03,1.70
2268.5,130.99,69.17,1.70
2269.5,137.30,68.31,1.70
2270.5,137.67,68.57,1.70
2271.5,136.17,67.35,1.70
2272.5,135.88,68.13,1.70
2273.5,136.91,69.86,1.70
2274.5,139.21,71.60,1.70
2275.5,141.79,79.01,1.70
2276.5,129.22,87.01,1.70
2277.5,138.16,83.32,1.70
2278.5,133.82,84.19,1.70
2279.5,131.88,82.58,1.70
2280.5,134.67,95.92,1.70
2281.5,142.16,134.46,1.70
2282.5,136.01,156.01,1.70
2283.5,137.59,236.34,1.70
2284.5,138.57,282.18,1.70
2285.5,98.27,511.33,1.70
2286.5,30.89,891.58,1.70
2287.5,23.54,908.45,1.70
2288.5,39.00,841.69,1.70
2289.5,43.91,707.59,1.70
2290.5,48.69,638.19,1.70
2291.5,55.45,628.72,1.70
2292.5,56.74,555.77,1.70
2293.5,60.41,503.64,1.70
2294.5,63.00,499.05,1.70
2295.5,99.27,460.15,1.70
2296.5,125.40,432.92,1.70
2297.5,125.12,430.27,1.70
2298.5,119.39,430.85,1.70
2299.5,122.73,436.63,1.70
2300.5,123.83,409.78,1.70
2301.5,122.55,299.58,1.70
2302.5,135.13,223.25,1.70
2303.5,136.03,221.57,1.70
2304.5,139.92,219.12,1.70
2305.5,142.77,218.70,1.70
2306.5,139.82,219.13,1.70
2307.5,143.02,218.88,1.70
2308.5,132.56,218.00,1.70
2309.5,142.74,219.04,1.70
2310.5,143.59,220.54,1.70
2311.5,144.97,218.85,1.70
2312.5,146.70,221.80,1.70
2313.5,82.33,285.93,1.70
2314.5,146.78,219.49,1.70
2315.5,146.39,223.55,1.70
2316.5,146.23,225.64,1.70
2317.5,145.92,226.14,1.70
2318.5,144.88,226.50,1.70
2319.5,145.81,226.13,1.70
2320.5,145.50,223.05,1.70
2321.5,146.65,223.88,1.70
2322.5,146.81,222.90,1.70
2323.5,147.27,217.64,1.70
2324.5,145.91,192.58,1.70
2325.5,147.71,173.41,1.70
2326.5,149.27,171.69,1.70
2327.5,150.51,172.03,1.70
2328.5,148.82,172.12,1.70
2329.5,149.29,170.91,1.70
2330.5,145.87,173.11,1.70
2331.5,145.42,173.34,1.70
2332.5,145.26,173.00,1.70
2333.5,143.04,176.81,1.70
2334.5,129.85,152.83,1.70
2335.5,112.11,105.41,1.70
2336.5,109.29,83.72,1.70
2337.5,110.82,66.43,1.70
2338.5,137.62,16.67,1.70
2339.5,140.25,0.00,1.70
2340.5,125.40,14.62,1.70
2341.5,127.36,16.05,1.70
2342.5,126.00,15.89,1.70
2343.5,118.92,25.58,1.70
2344.5,140.52,0.65,1.70
2345.5,142.35,0.00,1.70
2346.5,142.45,0.26,1.70
2347.5,136.05,10.41,1.70
2348.5,137.61,54.95,1.70
2349.5,128.22,53.18,1.70
2350.5,139.16,52.21,1.70
2351.5,137.81,49.96,1.70
2352.5,140.04,37.20,1.70
2353.5,134.78,29.32,1.70
2354.5,133.11,28.11,1.70
2355.5,135.32,28.07,1.70
2356.5,136.06,28.73,1.70
2357.5,134.54,28.68,1.70
2358.5,129.09,28.33,1.70
2359.5,131.46,28.51,1.70
2360.5,136.15,28.80,1.70
2361.5,138.62,28.35,1.70
2362.5,135.53,28.59,1.70
2363.5,135.03,29.22,1.70
2364.5,137.84,26.69,1.70
2365.5,142.84,14.20,1.70
2366.5,140.53,11.78,1.70
2367.5,140.31,0.00,1.70
2368.5,141.62,0.55,1.70
2369.5,142.98,0.00,1.70
2370.5,143.23,0.37,1.70
2371.5,126.31,0.02,1.70
2372.5,86.90,29.97,1.70
2373.5,114.28,0.00,1.70
2374.5,115.67,0.00,1.70
2375.5,114.50,0.00,1.70
2376.5,116.03,0.00,1.70
2377.5,116.81,0.00,1.70
2378.5,116.01,0.00,1.70
2379.5,116.26,0.00,1.70
2380.5,115.21,0.00,1.70
2381.5,118.33,0.00,1.70
2382.5,113.19,0.00,1.70
2383.5,99.66,0.00,1.70
2384.5,101.45,0.00,1.70
2385.5,70.28,32.32,1.70
2386.5,101.34,0.00,1.70
2387.5,100.94,0.01,1.70
2388.5,100.74,0.00,1.70
2389.5,101.14,0.00,1.70
2390.5,99.60,0.00,1.70
2391.5,99.00,0.00,1.70
2392.5,100.95,0.00,1.70
2393.5,102.67,0.00,1.70
2394.5,100.57,0.00,1.70
2395.5,97.27,4.20,1.70
2396.5,94.49,5.85,1.70
2397.5,86.47,17.11,1.70
2398.5,97.37,0.00,1.63
2399.5,98.51,0.00,1.70
2400.5,100.32,0.00,1.70
2401.5,94.49,5.79,1.70
2402.5,98.76,0.00,1.70
2403.5,100.62,0.00,1.70
2404.5,99.67,0.00,1.70
2405.5,101.50,0.00,1.70
2406.5,103.55,0.00,1.70
2407.5,98.73,0.00,1.70
2408.5,100.85,0.00,1.70
2409.5,101.52,0.00,1.70
2410.5,100.24,0.00,1.70
2411.5,86.07,0.00,1.70
2412.5,87.78,0.00,1.70
2413.5,86.29,0.00,1.70
2414.5,87.27,0.00,1.70
2415.5,85.61,0.00,1.70
2416.5,87.67,0.00,1.70
2417.5,87.18,0.00,1.70
2418.5,85.28,0.00,1.70
2419.5,86.74,0.00,1.70
2420.5,87.17,0.06,1.70
2421.5,85.47,0.00,1.70
2422.5,89.65,0.00,1.70
2423.5,87.75,0.00,1.70
2424.5,86.38,0.00,1.70
2425.5,86.23,0.00,1.70
2426.5,88.99,0.00,1.70
2427.5,84.78,0.00,1.70
2428.5,85.28,0.00,1.70
2429.5,87.22,0.00,1.70
2430.5,85.61,0.00,1.70
2431.5,91.26,0.00,1.70
2432.5,84.57,0.00,1.70
2433.5,72.63,0.00,1.70
2434.5,62.41,0.00,1.70
2435.5,87.14,0.00,1.70
2436.5,86.77,0.00,1.63
2437.5,83.70,0.00,1.70
2438.5,86.49,0.00,1.70
2439.5,85.07,0.00,1.70
2440.5,82.54,0.00,1.70
2441.5,59.84,12.15,1.70
2442.5,72.75,0.00,1.70
2443.5,72.07,0.00,1.70
2444.5,71.74,0.00,1.70
2445.5,71.72,0.00,1.70
2446.5,72.05,0.00,1.70
2447.5,66.89,0.00,1.70
2448.5,57.98,12.45,1.70
2449.5,73.59,0.00,1.70
2450.5,71.08,0.00,1.70
2451.5,71.33,0.00,1.70
2452.5,71.71,0.00,1.70
2453.5,59.39,0.00,1.70
2454.5,71.78,0.00,1.70
2455.5,72.44,0.00,1.70
2456.5,72.20,0.00,1.70
2457.5,72.34,0.00,1.70
2458.5,72.23,0.00,1.70
2459.5,73.05,0.00,1.70
2460.5,70.21,0.00,1.70
2461.5,72.76,0.00,1.70
2462.5,70.53,0.00,1.70
2463.5,71.60,0.00,1.70
2464.5,71.85,0.00,1.70
2465.5,71.81,0.00,1.70
2466.5,73.73,0.00,1.70
2467.5,70.49,0.00,1.70
2468.5,63.98,0.00,1.70
2469.5,66.09,0.00,1.70
2470.5,61.40,0.00,1.70
2471.5,64.35,0.00,1.70
2472.5,64.66,0.00,1.70
2473.5,65.40,0.00,1.70
2474.5,66.16,0.00,1.70
2475.5,65.69,0.00,1.70
2476.5,62.83,0.00,1.70
2477.5,65.72,0.00,1.70
2478.5,61.42,0.00,1.70
2479.5,57.86,0.00,1.70
2480.5,53.89,0.00,1.70
2481.5,58.54,0.00,1.70
2482.5,57.37,0.00,1.70
2483.5,56.25,0.00,1.70
2484.5,55.03,0.00,1.70
2485.5,56.25,0.00,1.70
2486.5,57.43,0.00,1.70
2487.5,55.91,0.00,1.70
2488.5,56.86,0.00,1.70
2489.5,56.91,0.00,1.70
2490.5,55.48,0.00,1.70
2491.5,54.43,0.00,1.70
2492.5,54.76,0.00,1.70
2493.5,57.96,0.00,1.70
2494.5,55.35,0.00,1.70
2495.5,57.17,0.00,1.70
2496.5,57.30,0.00,1.70
2497.5,56.18,0.00,1.68
2498.5,55.01,0.00,1.70
2499.5,56.98,0.00,1.70
2500.5,57.36,0.00,1.70
2501.5,56.21,0.00,1.70
2502.5,59.59,0.00,1.70
2503.5,56.93,0.01,1.70
2504.5,56.47,0.00,1.70
2505.5,55.72,0.00,1.70
2506.5,56.00,0.00,1.70
2507.5,56.22,0.00,1.70
2508.5,57.53,0.00,1.70
2509.5,57.75,0.03,1.70
2510.5,57.41,0.00,1.70
2511.5,62.97,0.00,1.70
2512.5,55.90,0.00,1.70
2513.5,59.66,0.00,1.70
2514.5,58.68,0.00,1.70
2515.5,59.08,0.00,1.70
2516.5,57.65,0.00,1.70
2517.5,57.39,0.00,1.70
2518.5,56.54,0.00,1.70
2519.5,56.80,0.00,1.70
2520.5,57.35,0.00,1.70
2521.5,57.68,0.00,1.70
2522.5,57.26,0.00,1.70
2523.5,57.81,0.00,1.70
2524.5,57.64,0.00,1.70
2525.5,56.96,0.00,1.70
2526.5,58.09,0.00,1.70
2527.5,58.90,0.00,1.70
2528.5,57.62,0.00,1.70
2529.5,58.36,0.00,1.70
2530.5,57.52,0.00,1.70
2531.5,57.39,0.00,1.70
2532.5,57.04,0.00,1.70
2533.5,46.06,10.66,1.70
2534.5,57.55,0.00,1.70
2535.5,55.37,0.00,1.70
2536.5,54.46,0.00,1.70
2537.5,53.52,1.61,1.70
2538.5,53.67,2.64,1.70
2539.5,53.82,0.00,1.70
2540.5,57.26,0.00,1.70
2541.5,56.27,0.00,1.70
2542.5,56.92,0.00,1.70
2543.5,57.16,0.00,1.70
2544.5,27.08,31.10,1.70
2545.5,80.74,67.46,1.70
2546.5,167.77,118.12,1.70
2547.5,112.00,88.39,1.70
2548.5,38.28,18.23,1.70
2549.5,56.40,0.00,1.70
2550.5,56.44,0.00,1.70
2551.5,57.27,0.00,1.70
2552.5,56.41,0.00,1.70
2553.5,54.26,0.00,1.70
2554.5,55.99,0.00,1.70
2555.5,57.00,0.00,1.70
2556.5,56.54,0.00,1.70
2557.5,57.28,0.00,1.70
2558.5,56.89,0.00,1.70
2559.5,57.51,0.00,1.70
2560.5,56.67,0.00,1.70
2561.5,56.55,0.00,1.70
2562.5,57.53,0.00,1.70
2563.5,57.71,0.00,1.70
2564.5,56.01,0.00,1.70
2565.5,50.18,0.00,1.70
2566.5,50.27,0.00,1.70
2567.5,50.65,0.00,1.70
2568.5,49.76,0.00,1.70
2569.5,49.91,0.00,1.70
2570.5,49.80,0.00,1.70
2571.5,50.62,0.00,1.70
2572.5,50.03,0.00,1.70
2573.5,50.17,0.00,1.70
2574.5,50.27,0.00,1.70
2575.5,48.97,0.00,1.70
2576.5,52.01,0.00,1.70
2577.5,49.67,0.00,1.70
2578.5,48.67,0.00,1.70
2579.5,50.16,0.00,1.70
2580.5,49.84,0.00,1.70
2581.5,50.77,0.00,1.70
2582.5,50.25,0.00,1.70
2583.5,50.90,0.00,1.70
2584.5,50.43,0.00,1.70
2585.5,50.70,0.00,1.70
2586.5,50.30,0.00,1.70
2587.5,50.63,0.00,1.70
2588.5,50.43,0.00,1.70
2589.5,50.63,0.00,1.70
2590.5,50.01,0.00,1.70
2591.5,49.24,0.00,1.70
2592.5,49.29,0.00,1.70
2593.5,50.48,0.00,1.70
2594.5,49.30,0.00,1.70
2595.5,51.41,0.10,1.70
2596.5,49.03,0.00,1.70
2597.5,45.91,0.00,1.70
2598.5,40.97,0.00,1.70
2599.5,37.55,0.00,1.70
2600.5,21.99,25.60,1.70
2601.5,15.92,32.29,1.70
2602.5,16.68,32.03,1.70
2603.5,17.23,31.99,1.70
2604.5,18.42,31.12,1.70
2605.5,17.71,32.51,1.70
2606.5,16.56,33.29,1.70
2607.5,16.08,33.70,1.70
2608.5,17.57,33.35,1.70
2609.5,15.19,34.27,1.70
2610.5,18.06,30.65,1.70
2611.5,40.28,9.90,1.70
2612.5,51.85,0.00,1.70
2613.5,45.57,0.00,1.70
2614.5,41.67,0.00,1.70
2615.5,42.49,0.00,1.70
2616.5,47.75,0.00,1.70
2617.5,48.34,0.00,1.70
2618.5,47.77,0.00,1.70
2619.5,48.96,0.00,1.70
2620.5,49.32,0.00,1.70
2621.5,49.12,0.00,1.70
2622.5,49.93,0.00,1.70
2623.5,49.00,0.00,1.70
2624.5,49.44,0.00,1.70
2625.5,48.97,0.00,1.70
2626.5,49.30,0.00,1.70
2627.5,47.81,0.00,1.70
2628.5,48.95,0.00,1.70
2629.5,48.69,0.00,1.70
2630.5,49.67,0.00,1.70
2631.5,49.61,0.00,1.70
2632.5,49.76,0.00,1.70
2633.5,48.94,0.00,1.70
2634.5,50.40,0.00,1.70
2635.5,21.56,29.47,1.70
2636.5,22.87,26.70,1.70
2637.5,34.57,15.58,1.70
2638.5,49.27,0.00,1.70
2639.5,48.62,0.00,1.70
2640.5,50.70,0.00,1.70
2641.5,47.54,0.00,1.70
2642.5,50.20,0.00,1.70
2643.5,48.81,0.00,1.70
2644.5,50.69,0.00,1.70
2645.5,70.49,0.00,1.70
2646.5,70.82,0.00,1.70
2647.5,68.57,0.00,1.70
2648.5,69.16,0.00,1.70
2649.5,67.58,0.00,1.70
2650.5,68.31,0.00,1.70
2651.5,67.28,0.00,1.70
2652.5,66.67,0.00,1.70
2653.5,50.76,0.00,1.70
2654.5,48.06,0.00,1.70
2655.5,48.69,0.00,1.70
2656.5,48.49,0.00,1.70
2657.5,32.56,17.51,1.70
2658.5,52.33,0.00,1.70
2659.5,50.08,0.00,1.70
2660.5,50.35,0.00,1.70
2661.5,50.24,0.00,1.70
2662.5,49.50,0.00,1.70
2663.5,50.34,0.00,1.70
2664.5,49.91,0.00,1.70
2665.5,44.88,0.00,1.70
2666.5,44.59,0.00,1.70
2667.5,43.22,0.00,1.70
2668.5,43.51,0.00,1.70
2669.5,40.61,0.00,1.70
2670.5,42.77,0.00,1.70
2671.5,42.60,0.00,1.70
2672.5,42.92,0.00,1.70
2673.5,44.61,0.00,1.70
2674.5,42.52,0.00,1.70
2675.5,42.42,0.00,1.70
2676.5,43.24,0.00,1.70
2677.5,43.47,0.00,1.70
2678.5,44.28,0.04,1.05
2679.5,39.33,0.00,1.70
2680.5,42.42,0.00,1.70
2681.5,42.47,0.00,1.70
2682.5,42.06,0.00,1.70
2683.5,41.36,0.00,1.70
2684.5,40.75,1.20,1.70
2685.5,41.67,0.00,1.70
2686.5,42.35,0.00,1.70
2687.5,18.88,24.92,1.70
2688.5,27.99,15.26,1.36
2689.5,43.87,0.00,1.70
2690.5,46.27,0.00,1.70
2691.5,44.05,0.00,1.70
2692.5,43.11,0.00,1.70
2693.5,45.18,0.00,1.70
2694.5,45.02,0.00,1.70
2695.5,43.06,0.00,1.70
2696.5,43.06,0.00,1.70
2697.5,42.72,0.00,1.70
2698.5,34.13,0.00,1.70
2699.5,42.78,0.00,1.70
2700.5,42.34,0.00,1.70
2701.5,42.89,0.00,1.70
2702.5,41.78,0.00,1.70
2703.5,42.99,0.00,1.70
2704.5,43.58,0.00,1.70
2705.5,43.26,0.00,1.70
2706.5,44.19,0.00,1.70
2707.5,43.14,0.00,1.70
2708.5,44.23,0.00,1.70
2709.5,42.42,0.00,1.70
2710.5,43.07,0.00,1.70
2711.5,20.48,22.80,1.70
2712.5,42.44,0.00,1.70
2713.5,43.23,0.00,1.70
2714.5,41.80,0.00,1.70
2715.5,43.09,0.00,1.70
2716.5,44.44,0.00,1.70
2717.5,57.40,0.00,1.70
2718.5,59.25,0.00,1.70
2719.5,58.64,0.00,1.70
2720.5,44.91,0.00,1.70
2721.5,47.01,0.00,1.70
2722.5,68.73,0.00,1.70
2723.5,78.84,0.00,1.70
2724.5,114.25,0.00,1.70
2725.5,115.25,0.00,1.70
2726.5,115.28,0.00,1.70
2727.5,115.89,0.00,1.70
2728.5,116.42,0.00,1.70
2729.5,92.96,22.49,1.70
2730.5,82.30,31.85,1.70
2731.5,116.55,0.00,1.70
2732.5,116.53,0.00,1.70
2733.5,117.44,0.00,1.70
2734.5,129.04,0.00,1.70
2735.5,129.36,0.16,1.70
2736.5,129.72,0.00,1.70
2737.5,131.81,0.00,1.70
2738.5,129.67,0.00,1.70
2739.5,130.66,0.00,1.70
2740.5,130.91,0.00,1.70
2741.5,109.52,0.00,1.70
2742.5,96.34,0.00,1.70
2743.5,101.53,0.00,1.70
2744.5,102.93,0.00,1.70
2745.5,89.22,0.00,1.70
2746.5,86.81,0.00,1.70
2747.5,88.74,0.00,1.70
2748.5,86.96,0.00,1.70
2749.5,98.15,0.00,1.70
2750.5,112.18,0.01,1.70
2751.5,109.88,0.00,1.67
2752.5,113.11,0.00,1.70
2753.5,118.65,0.00,1.70
2754.5,116.98,0.11,1.70
2755.5,116.27,0.00,1.70
2756.5,115.75,0.00,1.70
2757.5,114.45,0.00,1.70
2758.5,116.43,0.00,1.70
2759.5,116.39,0.00,1.70
2760.5,117.60,0.00,1.70
2761.5,113.98,0.00,1.70
2762.5,101.07,0.00,1.70
2763.5,96.82,0.00,1.70
2764.5,53.90,33.81,1.70
2765.5,84.61,0.00,1.70
2766.5,85.83,0.00,1.70
2767.5,88.50,0.07,1.70
2768.5,85.84,0.00,1.70
2769.5,86.59,0.04,1.70
2770.5,88.30,0.00,1.70
2771.5,86.89,0.00,1.70
2772.5,86.70,0.00,1.70
2773.5,86.43,0.00,1.70
2774.5,86.81,0.00,1.70
2775.5,87.34,0.00,1.70
2776.5,87.53,0.00,1.70
2777.5,85.58,0.04,1.70
2778.5,88.73,0.04,1.70
2779.5,81.75,0.00,1.70
2780.5,80.14,0.00,1.70
2781.5,79.79,0.00,1.70
2782.5,79.85,0.00,1.70
2783.5,80.15,0.00,1.70
2784.5,74.37,0.02,1.69
2785.5,73.05,0.00,1.70
2786.5,71.17,0.00,1.70
2787.5,74.26,0.00,1.70
2788.5,73.21,0.00,1.70
2789.5,74.73,0.00,1.70
2790.5,72.56,0.00,1.70
2791.5,74.19,0.00,1.70
2792.5,71.29,0.00,1.70
2793.5,68.72,0.00,1.70
2794.5,72.09,0.00,1.70
2795.5,71.10,0.00,1.70
2796.5,72.37,0.00,1.70
2797.5,70.39,0.00,1.70
2798.5,68.47,0.00,1.70
2799.5,70.56,0.00,1.70
2800.5,67.49,0.00,1.70
2801.5,69.80,0.00,1.70
2802.5,70.44,0.00,1.70
2803.5,63.98,0.00,1.70
2804.5,58.97,0.00,1.70
2805.5,57.15,0.00,1.70
2806.5,56.31,0.00,1.67
2807.5,57.01,0.00,1.70
2808.5,54.72,0.00,1.70
2809.5,55.75,0.00,1.70
2810.5,56.51,0.00,1.70
2811.5,50.26,0.00,1.70
2812.5,40.99,0.00,1.70
2813.5,39.94,0.00,1.70
2814.5,44.33,0.00,1.70
2815.5,41.53,0.00,1.70
2816.5,41.41,0.00,1.70
2817.5,36.85,0.00,1.70
2818.5,40.29,0.00,1.70
2819.5,40.88,0.00,1.70
2820.5,41.17,0.00,1.70
2821.5,37.72,0.00,1.70
2822.5,33.62,0.00,1.70
2823.5,34.44,0.00,1.70
2824.5,37.00,0.00,1.70
2825.5,34.83,0.00,1.70
2826.5,35.32,0.00,1.70
2827.5,36.23,0.00,1.70
2828.5,38.47,0.00,1.70
2829.5,36.08,0.00,1.70
2830.5,36.10,0.00,1.70
2831.5,35.15,0.00,1.70
2832.5,35.65,0.00,1.70
2833.5,34.91,0.00,1.70
2834.5,35.53,0.00,1.70
2835.5,35.18,0.00,1.70
2836.5,36.88,0.00,1.70
2837.5,36.87,0.00,1.70
2838.5,36.59,0.00,1.70
2839.5,33.53,0.00,1.70
2840.5,32.30,0.00,1.70
2841.5,35.21,0.00,1.70
2842.5,35.83,0.00,1.70
2843.5,33.29,0.00,1.70
2844.5,35.12,0.00,1.70
2845.5,35.76,0.00,1.70
2846.5,36.30,0.00,1.70
2847.5,35.22,0.00,1.70
2848.5,34.68,0.00,1.70
2849.5,34.03,0.00,1.70
2850.5,34.46,0.00,1.70
2851.5,34.55,0.00,1.70
2852.5,34.53,0.00,1.70
2853.5,15.56,20.45,1.70
2854.5,11.66,23.71,1.70
2855.5,12.71,22.96,1.70
2856.5,19.05,15.40,1.70
2857.5,15.61,22.72,1.70
2858.5,17.19,19.14,1.70
2859.5,19.63,16.85,1.70
2860.5,13.43,20.51,1.70
2861.5,14.42,18.41,1.70
2862.5,20.46,12.42,1.70
